Transaction_ID,Transaction_Amount,Transaction_Type,Vendor_Risk_Score,Employee_ID,Department,Transaction_Frequency,Round_Amount_Flag,Weekend_Transaction,Approval_Level,Previous_Fraud_Flag,Unusual_Time_Flag,Multiple_Approvals,Vendor_New_Flag,Audit_Risk
T00122,45284.85,Purchase,0.44,E252,Finance,19,0,0,Director,0,0,0,0,0
T00123,7654.61,Expense,0.07,E389,HR,8,0,0,Manager,0,0,1,0,0
T00124,2331.84,Expense,0.5,E323,HR,12,0,1,Director,1,0,0,1,0
T00125,5173.73,Expense,0.49,E218,IT,17,0,0,Director,0,0,0,0,0
T00126,11141.15,Transfer,0.59,E313,Admin,12,1,1,VP,1,0,0,1,1
T00127,34076.59,Transfer,0.36,E152,Finance,15,0,0,VP,1,0,0,0,0
T00128,39426.9,Transfer,0.61,E319,HR,5,0,1,VP,0,0,1,1,0
T00129,139.53,Transfer,0.88,E342,IT,2,0,0,VP,0,1,0,0,0
T00130,14297.52,Transfer,0.96,E152,Sales,20,1,0,Director,0,0,0,0,0
T00131,10805.47,Purchase,0.58,E216,Finance,18,0,0,Director,0,0,0,0,0
T00132,5023.35,Transfer,0.04,E141,Admin,3,0,0,VP,0,0,1,1,0
T00133,2553.61,Expense,0.97,E346,IT,5,0,0,Manager,1,0,1,0,0
T00134,8238.17,Transfer,0.71,E390,Admin,2,0,0,VP,0,0,0,0,0
T00135,57262.42,Purchase,0.34,E347,Finance,9,0,0,Manager,0,0,1,0,0
T00136,7807.68,Expense,0.15,E200,IT,24,0,0,Manager,0,0,1,0,0
T00137,14629.06,Purchase,0.14,E186,HR,5,0,0,VP,0,1,0,1,0
T00138,24281.74,Expense,0.17,E183,Admin,27,0,0,Manager,0,0,0,1,0
T00139,9039.49,Transfer,0.05,E360,Sales,17,0,0,Manager,0,0,0,0,0
T00140,71355.96,Purchase,0.9,E320,Sales,21,1,0,VP,0,0,1,1,1
T00141,65640.2,Expense,0.54,E253,Admin,20,1,0,Director,0,0,0,0,0
T00142,5801.23,Transfer,0.7,E150,Finance,15,1,1,Manager,0,0,0,1,0
T00143,13753.19,Expense,0.83,E137,Finance,13,0,0,VP,0,0,0,0,0
T00144,7158.61,Purchase,0.79,E358,Finance,9,1,1,Director,1,0,1,0,1
T00145,6704.99,Purchase,0.88,E286,Sales,2,0,0,Director,0,0,0,0,0
T00146,751.69,Purchase,0.97,E112,Sales,23,0,0,Director,0,0,1,1,0
T00147,18809.84,Purchase,0.44,E322,HR,2,0,0,Director,0,0,1,1,0
T00148,13970.39,Transfer,0.95,E186,Finance,29,0,0,Director,0,1,1,0,0
T00149,1057.02,Expense,0.72,E358,Sales,29,1,1,Manager,1,0,1,1,1
T00150,6532.52,Transfer,0.07,E280,Sales,11,0,0,Director,0,0,1,0,0
T00151,47777.22,Purchase,0.68,E272,Finance,28,0,0,Manager,0,1,0,0,0
T00152,5477.21,Expense,0.69,E294,Finance,3,1,0,VP,0,0,0,1,0
T00153,3130.62,Purchase,0.91,E344,Sales,3,0,0,VP,0,0,0,0,0
T00154,13445.44,Transfer,0.37,E295,Admin,10,0,0,VP,0,0,0,0,0
T00155,84880.74,Transfer,0.58,E161,Sales,24,0,0,Director,0,0,1,0,0
T00156,5542.9,Transfer,0.01,E124,HR,2,0,0,VP,0,0,1,0,0
T00157,22303.1,Expense,0.33,E151,IT,1,1,0,Manager,0,0,1,1,0
T00158,28677.75,Expense,0.06,E149,Finance,6,0,1,Manager,0,0,0,0,0
T00159,5426.66,Purchase,0.52,E394,HR,6,0,0,Director,0,0,0,1,0
T00160,26054.98,Expense,0.82,E151,Admin,11,0,1,Director,0,0,1,1,0
T00161,9170.46,Expense,0.21,E139,IT,16,0,0,VP,0,0,1,0,0
T00162,20010.07,Transfer,0.53,E331,Sales,1,1,0,Director,0,1,1,0,0
T00163,20076.76,Purchase,0.2,E159,Finance,5,0,0,Director,0,1,0,0,0
T00164,15347.7,Transfer,0.12,E315,Sales,25,0,0,VP,0,0,0,0,0
T00165,1892.58,Purchase,0.51,E296,HR,26,0,0,Director,1,0,1,1,0
T00166,36072.9,Purchase,0.08,E375,Finance,27,0,0,Manager,0,0,1,0,0
T00167,7736.21,Expense,0.59,E101,Sales,10,1,1,Director,0,0,1,1,0
T00168,4128.64,Transfer,0.03,E205,Finance,21,0,0,VP,0,1,0,0,0
T00169,832.6,Expense,0.11,E315,HR,28,0,1,Manager,0,0,0,1,0
T00170,17875.57,Expense,0.55,E364,Sales,23,1,0,VP,0,0,1,0,0
T00171,22637.03,Expense,0.59,E266,IT,6,0,0,VP,0,0,1,0,0
T00172,334.54,Purchase,0.03,E346,Admin,11,0,0,Director,0,0,1,0,0
T00173,14352.61,Transfer,0.57,E309,Sales,26,0,0,VP,0,0,0,0,0
T00174,5136.48,Transfer,0.84,E157,Finance,16,1,0,Manager,0,0,0,1,0
T00175,20722.49,Expense,0.72,E142,Sales,20,0,1,Manager,0,0,0,1,0
T00176,3832.08,Purchase,0.13,E237,Finance,13,0,0,Manager,0,0,1,0,0
T00177,23484.25,Transfer,0.59,E208,HR,12,0,0,Manager,0,1,0,1,0
T00178,9779.17,Transfer,0.67,E147,Admin,18,1,0,Director,0,0,1,1,0
T00179,55206.88,Expense,0.04,E225,Finance,26,1,0,VP,0,0,0,1,0
T00180,2958.89,Purchase,0.86,E313,Sales,13,0,0,Director,0,0,0,0,0
T00181,8342.65,Expense,0.91,E227,HR,5,1,0,Manager,0,1,0,0,1
T00182,2408.89,Transfer,0.85,E297,IT,28,0,0,Director,0,0,1,0,0
T00183,51723.81,Purchase,0.82,E301,Sales,28,0,0,VP,0,0,1,0,0
T00184,41966.67,Expense,0.74,E291,Admin,26,0,1,VP,0,0,0,0,0
T00185,5966.55,Transfer,0.63,E206,HR,13,0,0,Director,0,1,0,0,0
T00186,21575.25,Expense,0.68,E293,Sales,25,0,0,VP,0,1,0,0,0
T00187,33989.68,Expense,0.81,E337,Finance,13,1,0,Manager,0,0,0,0,0
T00188,16202.65,Expense,0.66,E231,Finance,19,0,0,Director,0,0,0,0,0
T00189,15085.59,Purchase,0.33,E182,Finance,19,1,0,VP,0,0,1,0,0
T00190,5537.54,Transfer,0.38,E383,Sales,13,0,0,Manager,0,1,1,0,0
T00191,1954.52,Transfer,0.9,E321,Admin,28,1,0,Director,0,0,0,0,0
T00192,45502.46,Transfer,0.02,E205,Finance,11,0,0,VP,0,0,1,1,0
T00193,46135.49,Transfer,0.7,E393,Sales,16,0,0,VP,0,0,0,0,0
T00194,20053.4,Purchase,0.95,E165,Sales,23,0,0,Manager,0,0,1,0,0
T00195,8280.93,Expense,0.71,E294,Admin,14,0,0,VP,0,1,1,0,0
T00196,8591.35,Transfer,0.99,E287,HR,10,1,0,Director,1,0,1,0,1
T00197,25889.31,Purchase,0.69,E146,HR,2,0,0,Manager,0,1,1,0,0
T00198,45481.95,Expense,0.03,E124,Sales,8,0,0,Director,0,0,0,1,0
T00199,43622.65,Purchase,0.83,E165,HR,23,0,0,Manager,0,0,0,1,0
T00200,30271.24,Purchase,0.28,E166,IT,8,1,0,VP,0,1,0,1,0
T00201,20546.21,Transfer,0.45,E296,Admin,26,0,0,Manager,0,0,1,0,0
T00202,1757.83,Transfer,0.31,E345,Sales,22,0,1,Manager,0,0,0,0,0
T00203,3525.88,Expense,0.27,E395,HR,21,1,0,Director,0,0,1,0,0
T00204,45764.61,Expense,0.43,E199,HR,27,1,0,VP,0,1,0,0,0
T00205,18649.88,Transfer,0.38,E277,Admin,20,1,0,Director,1,1,0,1,1
T00206,184.79,Purchase,0.63,E214,Finance,14,0,0,Director,0,0,0,1,0
T00207,2139.94,Transfer,0.81,E267,HR,24,0,1,VP,0,0,0,0,0
T00208,21783.25,Expense,0.3,E218,Admin,14,1,0,Manager,0,0,1,0,0
T00209,101.49,Purchase,0.21,E264,Finance,18,1,0,Director,0,0,0,0,0
T00210,3506.32,Purchase,0.67,E318,Sales,15,1,0,Manager,0,0,0,0,0
T00211,15913.96,Purchase,0.67,E296,Finance,22,0,0,VP,0,0,0,0,0
T00212,23546.31,Transfer,0.9,E336,HR,28,0,0,Manager,0,0,1,0,0
T00213,21108.83,Transfer,0.02,E268,Sales,16,1,0,VP,0,0,0,0,0
T00214,5079.0,Expense,0.85,E175,Sales,14,1,0,VP,0,0,1,1,0
T00215,24908.35,Purchase,0.52,E386,Finance,10,0,0,Manager,0,1,0,0,0
T00216,5416.48,Purchase,0.62,E132,Sales,22,0,0,VP,0,0,0,0,0
T00217,7872.7,Transfer,0.09,E398,Finance,21,0,1,Director,0,0,0,0,0
T00218,27447.15,Expense,0.43,E329,Finance,2,1,1,Director,0,0,1,0,0
T00219,20975.48,Expense,0.23,E294,Finance,5,0,0,Manager,0,0,1,0,0
T00220,37839.12,Purchase,0.25,E393,Admin,3,1,1,Director,0,0,0,1,0
T00221,21436.27,Transfer,0.5,E396,HR,23,0,0,VP,0,1,0,0,0
T00222,16800.89,Purchase,0.81,E377,Sales,7,0,0,Director,0,0,0,0,0
T00223,1967.14,Transfer,0.74,E329,IT,24,0,1,Director,0,0,0,0,0
T00224,9168.33,Expense,0.59,E195,HR,27,1,0,Manager,0,0,1,1,0
T00225,6163.2,Purchase,0.54,E270,IT,12,0,0,VP,0,0,0,0,0
T00226,5594.0,Purchase,0.43,E131,Finance,10,0,0,Director,1,0,0,0,0
T00227,72246.19,Purchase,0.97,E144,Sales,11,0,0,VP,0,0,0,1,0
T00228,9987.75,Expense,0.56,E171,HR,25,0,1,Manager,0,0,0,0,0
T00229,44521.1,Purchase,0.25,E119,IT,17,0,1,Director,0,0,0,0,0
T00230,19946.69,Expense,0.23,E338,IT,4,0,0,VP,0,0,0,1,0
T00231,31676.51,Transfer,0.61,E298,IT,6,0,0,Director,0,0,0,1,0
T00232,13968.71,Expense,0.52,E164,HR,7,0,1,Manager,0,0,0,0,0
T00233,17203.12,Transfer,0.01,E287,Admin,27,0,0,Manager,0,0,0,0,0
T00234,13565.87,Expense,0.83,E188,Finance,5,1,0,VP,0,0,0,0,0
T00235,4344.3,Expense,0.7,E300,Sales,6,0,0,Director,0,0,0,0,0
T00236,25635.24,Purchase,0.66,E122,IT,17,0,0,Director,0,0,1,0,0
T00237,6591.55,Expense,0.07,E395,HR,14,1,1,VP,0,0,1,0,0
T00238,492.33,Purchase,0.36,E229,IT,11,0,0,Manager,0,0,1,0,0
T00239,20739.38,Transfer,0.94,E253,HR,5,0,0,Manager,0,0,0,0,0
T00240,3898.67,Transfer,0.86,E177,Admin,2,0,0,Director,0,1,0,0,0
T00241,56421.66,Purchase,0.29,E289,IT,14,1,0,VP,0,0,1,0,0
T00242,61551.25,Transfer,0.16,E399,IT,27,0,0,Director,0,0,0,0,0
T00243,49270.2,Expense,0.45,E253,Sales,16,0,0,Manager,0,0,1,0,0
T00244,9245.75,Purchase,0.36,E212,HR,2,1,0,Manager,0,0,1,0,0
T00245,311.55,Purchase,0.68,E216,HR,17,0,0,Manager,0,0,1,0,0
T00246,52710.47,Purchase,0.97,E104,Admin,26,0,0,Director,0,1,0,0,1
T00247,11178.77,Transfer,0.36,E134,IT,16,0,0,VP,0,0,1,0,0
T00248,68016.84,Transfer,0.06,E371,Sales,9,1,0,Director,0,1,0,0,1
T00249,66274.71,Expense,0.9,E258,Finance,20,0,0,VP,0,0,0,0,0
T00250,38347.74,Expense,0.04,E309,Sales,20,0,1,Director,0,0,1,1,0
T00251,6975.52,Purchase,0.95,E113,Sales,9,1,0,VP,0,0,0,0,0
T00252,9725.84,Expense,0.66,E124,Sales,5,0,0,VP,0,0,0,0,0
T00253,38094.53,Transfer,0.94,E317,Sales,4,0,0,Manager,0,0,0,0,0
T00254,7622.92,Expense,0.2,E353,IT,7,0,0,Manager,0,0,0,0,0
T00255,3714.37,Transfer,0.04,E302,Sales,29,1,0,Director,0,0,1,0,0
T00256,16274.74,Expense,0.49,E200,HR,29,0,0,VP,0,0,0,0,0
T00257,55025.87,Transfer,0.45,E328,HR,5,1,0,Manager,0,0,1,1,0
T00258,23816.51,Transfer,0.33,E298,Sales,24,0,0,Director,0,0,1,0,0
T00259,16882.25,Expense,0.96,E277,HR,3,0,1,Manager,0,0,0,0,0
T00260,2044.56,Expense,0.82,E375,IT,8,0,1,VP,0,0,0,0,0
T00261,19090.61,Transfer,0.66,E229,Finance,16,0,0,Manager,0,0,0,0,0
T00262,92211.39,Purchase,0.16,E378,Sales,27,0,0,Director,0,0,0,0,0
T00263,3018.41,Expense,0.73,E387,HR,6,0,1,Director,0,0,0,0,0
T00264,14609.91,Transfer,0.73,E240,HR,29,0,0,Director,0,0,0,0,0
T00265,41972.17,Expense,0.43,E112,IT,9,0,0,Director,0,0,0,1,0
T00266,27000.68,Expense,0.92,E316,IT,22,0,0,Manager,0,0,0,0,0
T00267,23881.49,Expense,0.17,E285,Finance,20,1,0,Director,0,0,0,0,0
T00268,24245.75,Expense,0.27,E126,Admin,18,0,0,Director,0,1,0,0,0
T00269,8909.85,Expense,0.06,E317,Admin,11,1,0,Manager,0,0,1,0,0
T00270,6951.24,Purchase,0.8,E113,Admin,19,0,1,Manager,0,0,0,0,0
T00271,33147.49,Purchase,0.62,E241,Finance,7,1,1,VP,1,0,0,0,1
T00272,33226.56,Purchase,0.31,E154,Sales,10,0,0,Director,0,0,1,0,0
T00273,40359.0,Transfer,0.16,E290,Admin,5,0,0,Manager,0,0,1,0,0
T00274,48892.32,Purchase,0.04,E384,Admin,7,0,0,Director,0,0,1,0,0
T00275,14321.86,Purchase,0.17,E188,HR,23,0,0,Manager,0,0,0,0,0
T00276,13923.69,Transfer,0.45,E144,HR,6,0,0,Manager,0,0,0,0,0
T00277,32019.0,Purchase,0.25,E231,Sales,18,0,0,Director,1,0,0,1,0
T00278,20994.38,Expense,0.26,E165,IT,21,0,0,VP,0,0,0,1,0
T00279,24211.01,Purchase,0.88,E378,Finance,15,0,0,Director,0,0,0,1,0
T00280,31772.39,Purchase,0.52,E247,Admin,27,0,0,VP,0,0,0,0,0
T00281,44146.47,Purchase,0.73,E244,Finance,10,0,0,VP,0,0,1,0,0
T00282,8249.65,Expense,0.04,E105,HR,6,1,1,Director,0,0,1,0,0
T00283,9418.74,Expense,0.37,E181,Finance,24,0,0,VP,0,0,0,0,0
T00284,1973.92,Expense,0.48,E222,HR,1,1,0,Director,1,0,0,0,0
T00285,17268.28,Expense,0.19,E266,Finance,28,1,0,Manager,0,0,1,1,0
T00286,732.08,Transfer,0.12,E336,HR,28,0,0,VP,0,1,0,0,0
T00287,12532.14,Expense,0.87,E204,Finance,28,0,0,Director,0,0,0,0,0
T00288,15645.89,Expense,0.94,E389,Admin,10,1,0,VP,0,0,0,0,0
T00289,6752.61,Expense,0.08,E337,Admin,23,0,0,Director,1,0,1,0,0
T00290,17872.65,Expense,0.35,E181,Sales,15,1,0,Director,0,0,0,0,0
T00291,619.5,Transfer,0.96,E193,Finance,14,0,1,VP,0,0,0,0,0
T00292,761.27,Purchase,0.08,E384,IT,16,0,0,Manager,0,0,0,0,0
T00293,34587.03,Purchase,0.64,E396,Sales,5,0,0,Manager,0,0,1,0,0
T00294,8931.7,Expense,0.97,E165,Finance,14,0,0,VP,0,1,0,0,0
T00295,2717.78,Expense,0.98,E211,IT,16,0,0,Director,0,0,1,0,0
T00296,14773.07,Expense,0.47,E270,Admin,14,0,0,Manager,1,0,1,0,0
T00297,29392.96,Purchase,0.16,E346,Admin,7,0,0,Director,0,0,0,0,0
T00298,4862.36,Purchase,0.2,E165,Admin,19,0,1,VP,1,0,0,0,0
T00299,19504.39,Expense,0.89,E167,IT,4,0,0,Director,0,0,1,0,0
T00300,1784.22,Purchase,0.91,E133,HR,18,0,0,Manager,1,0,1,0,0
T00301,1061.3,Transfer,0.61,E100,Finance,28,1,0,Manager,0,0,0,0,0
T00302,15158.18,Expense,0.77,E250,Sales,22,1,0,VP,0,0,0,0,0
T00303,15558.21,Expense,0.74,E371,Sales,21,1,1,VP,0,0,1,0,1
T00304,20290.75,Transfer,0.66,E357,Admin,15,0,0,VP,0,1,0,1,0
T00305,25899.21,Transfer,0.83,E337,HR,17,0,0,Director,0,1,0,0,0
T00306,74471.14,Purchase,0.69,E215,Finance,1,1,1,Manager,0,0,0,1,1
T00307,14525.82,Transfer,0.53,E175,Finance,24,0,1,VP,0,0,1,0,0
T00308,7800.39,Expense,0.24,E382,Sales,15,0,0,Manager,0,0,0,0,0
T00309,31713.08,Purchase,0.74,E118,Sales,16,0,0,Manager,0,0,0,0,0
T00310,6317.03,Transfer,0.47,E383,Sales,24,1,1,Manager,0,0,1,0,0
T00311,11559.67,Purchase,0.29,E134,Finance,22,0,0,Manager,0,0,1,1,0
T00312,1634.1,Purchase,0.8,E340,Sales,11,0,1,VP,1,0,1,0,1
T00313,513.55,Purchase,0.7,E106,Finance,9,1,0,VP,0,0,1,1,0
T00314,65747.6,Purchase,0.94,E136,Admin,17,0,0,Director,0,0,0,1,0
T00315,36155.35,Transfer,0.17,E252,HR,26,1,1,VP,0,1,1,0,1
